Maximum,192.2,@,No.1176,,,,,
Minimum,-0.2,@,No.2388,,,,,
Average,54.46,,,,,,,
Data Quantity,2405,,,,,,,
Number of NG,0,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date
328,53.1,gf,1.04,mm,OK,--,8:56:49 AM,1/10/2026
329,53.4,gf,1.04,mm,OK,--,8:56:49 AM,1/10/2026
330,53.6,gf,1.045,mm,OK,--,8:56:49 AM,1/10/2026
331,53.7,gf,1.05,mm,OK,--,8:56:49 AM,1/10/2026
332,53.7,gf,1.05,mm,OK,--,8:56:50 AM,1/10/2026
333,53.6,gf,1.055,mm,OK,--,8:56:50 AM,1/10/2026
334,53.7,gf,1.06,mm,OK,--,8:56:50 AM,1/10/2026
335,54,gf,1.065,mm,OK,--,8:56:50 AM,1/10/2026
336,53.8,gf,1.065,mm,OK,--,8:56:50 AM,1/10/2026
337,54,gf,1.07,mm,OK,--,8:56:50 AM,1/10/2026
338,54.2,gf,1.075,mm,OK,--,8:56:50 AM,1/10/2026
339,54.5,gf,1.075,mm,OK,--,8:56:50 AM,1/10/2026
340,55,gf,1.08,mm,OK,--,8:56:50 AM,1/10/2026
341,55.5,gf,1.085,mm,OK,--,8:56:50 AM,1/10/2026
342,55.9,gf,1.09,mm,OK,--,8:56:51 AM,1/10/2026
343,56.3,gf,1.095,mm,OK,--,8:56:51 AM,1/10/2026
344,56.5,gf,1.1,mm,OK,--,8:56:51 AM,1/10/2026
345,56.5,gf,1.105,mm,OK,--,8:56:51 AM,1/10/2026
346,56.2,gf,1.105,mm,OK,--,8:56:51 AM,1/10/2026
347,55.7,gf,1.11,mm,OK,--,8:56:51 AM,1/10/2026
348,55.6,gf,1.115,mm,OK,--,8:56:51 AM,1/10/2026
349,55.5,gf,1.12,mm,OK,--,8:56:51 AM,1/10/2026
350,55.6,gf,1.125,mm,OK,--,8:56:51 AM,1/10/2026
351,55.6,gf,1.13,mm,OK,--,8:56:51 AM,1/10/2026
352,55.4,gf,1.13,mm,OK,--,8:56:52 AM,1/10/2026
353,55.6,gf,1.135,mm,OK,--,8:56:52 AM,1/10/2026
354,55.6,gf,1.14,mm,OK,--,8:56:52 AM,1/10/2026
355,55.6,gf,1.14,mm,OK,--,8:56:52 AM,1/10/2026
356,55.5,gf,1.145,mm,OK,--,8:56:52 AM,1/10/2026
357,55.6,gf,1.15,mm,OK,--,8:56:52 AM,1/10/2026
358,55.6,gf,1.15,mm,OK,--,8:56:52 AM,1/10/2026
359,55.5,gf,1.155,mm,OK,--,8:56:52 AM,1/10/2026
360,55.4,gf,1.16,mm,OK,--,8:56:52 AM,1/10/2026
361,55.3,gf,1.16,mm,OK,--,8:56:52 AM,1/10/2026
362,55.3,gf,1.165,mm,OK,--,8:56:53 AM,1/10/2026
363,55.3,gf,1.165,mm,OK,--,8:56:53 AM,1/10/2026
364,55.2,gf,1.17,mm,OK,--,8:56:53 AM,1/10/2026
